Permission test successful at 2025-06-17 09:10:12
[17-Jun-2025 09:10:12 Europe/Berlin] PHP Warning:  Undefined variable $some_variable_that_does_not_exist in D:\Apps\XAMPP\htdocs\varuna\public\test_error_log.php on line 53
[17-Jun-2025 13:02:44 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:02:44 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:24 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:28 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:31 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:31 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:31 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:31 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:35 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:35 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:39 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:39 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:43 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:43 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:43 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:43 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:03:44 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:03:44 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:26 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:26 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:27 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:27 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:29 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:29 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:29 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:29 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:36 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:36 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:36 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:36 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:38 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:38 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:39 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:39 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:31:42 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:31:42 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:32:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:32:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:32:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:32:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:32:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:32:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:32:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:32:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:32:24 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:32:24 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:33:03 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:33:03 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:33:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:33:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:33:08 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:33:08 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:35:44 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:35:44 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:35:45 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:35:45 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:35:45 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:35:45 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:35:55 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:35:55 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:36:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:38:56 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:38:56 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:38:57 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:38:57 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:02 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:02 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:09 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:09 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:09 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:09 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:11 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:11 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:11 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:11 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:13 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:13 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:13 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:13 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:23 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:23 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:39:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:39:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:03 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:03 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:03 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:03 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:07 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:07 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:07 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:07 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:44:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:44:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
